"country","area","areaMi","landAreaKm","ActualSizeOfCountriesTotalWaterkm","ActualSizeOfCountriesTotalWater","ActualSizeOfCountriesPercentOfTerritoryWater"
"India",3287590,3287590,2973190,314073,121264,9.6
"China",9706961,9706961,9424702.9,270550,104460,2.8
"United States",9372610,9372610,9147420,685924,264837,7
"Indonesia",1904569,1904569,1877519,93000,36000,4.9
"Pakistan",881912,881912,770880,25223,9739,2.9
"Nigeria",923768,923768,910770,13000,5000,1.4
"Brazil",8515767,8515767,8358140,55352,21372,0.6
"Bangladesh",147570,147570,130170,14252,5503,9.6
"Russia",17098242,17098242,16376870,719836,277930,4.2
"Ethiopia",1104300,1104300,1128571.3,7670,2960,0.7
"Mexico",1964375,1964375,1943950,20430,7888,1
"Japan",377930,377930,364500,13430,5185,3.6
"Egypt",1002450,1002450,995450,6000,2000,0.6
"Philippines",342353,342353,298170,1830,707,0.6
"DR Congo",2344858,2344858,2267050,77810,30040,3.3
"Vietnam",331212,331212,313429,21140,8162,6.4
"Iran",1648195,1648195,1622500,116600,45020,7.1
"Turkey",783562,783562,783562,13930,5378,1.8
"Germany",357114,357114,349390,8350,3220,2.3
"Thailand",513120,513120,510890,2230,861,0.4
"United Kingdom",242900,242900,241930,1680,649,0.7
"Tanzania",945087,945087,885800,61500,23700,6.5
"France",551695,551695,547557,3374,1303,0.5
"South Africa",1221037,1221037,1213090,4620,1780,0.4
"Italy",301336,301336,295717,7200,2800,2.4
"Kenya",580367,580367,569140,11227,4335,1.9
"Myanmar",676578,676578,652670,23070,8907,3.4
"Colombia",1141748,1141748,1109500,100210,38691,8.8
"South Korea",100210,100210,97600,301,116,0.3
"Sudan",1886068,1886068,1868000,129813,50121,7
"Uganda",241550,241550,200520,43938,16965,18.2
"Spain",505992,505992,499556.6,6390,2470,1.3
"Algeria",2381741,2381741,2381741,,,
"Iraq",438317,438317,434128,950,370,0.2
"Argentina",2780400,2780400,2736690,43710,16880,1.6
"Afghanistan",652230,652230,652230,,,
"Yemen",527968,527968,527970,,,
"Canada",9984670,9984670,8965590,891163,344080,8.9
"Poland",312679,312679,306130,791,305,0.3
"Morocco",446550,446550,446300,250,97,0.1
"Angola",1246700,1246700,1246700,,,
"Ukraine",603500,603500,579400,24250,9363,4
"Uzbekistan",447400,447400,440650,22000,8500,4.9
"Malaysia",330803,330803,328550,1190,459,0.4
"Mozambique",801590,801590,786380,13000,5000,1.6
"Ghana",238533,238533,227533,11000,4200,4.6
"Peru",1285216,1285216,1280000,5220,2020,0.4
"Saudi Arabia",2149690,2149690,2149690,,,
"Madagascar",587041,587041,581800,5501,2124,0.9
"Ivory Coast",322463,322463,318000,4460,1720,1.4
"Nepal",147181,147181,143350,3830,1480,2.6
"Cameroon",475442,475442,472710,2730,1050,0.6
"Venezuela",916445,916445,882050,30000,10000,3.3
"Niger",1267000,1267000,1266700,300,100,
"Australia",7692024,7692024,7692020,58459,22571,0.8
"North Korea",120538,120538,120410,2,1,
"Syria",185180,185180,183630,1550,598,0.8
"Mali",1240192,1240192,1220190,20002,7723,1.6
"Burkina Faso",272967,272967,273600,620,240,0.2
"Taiwan",36193,36193,36197,3720,1440,10.3
"Sri Lanka",65610,65610,61860,2878,1111,4.4
"Malawi",118484,118484,94280,24404,9422,20.6
"Zambia",752612,752612,743390,9220,3560,1.2
"Kazakhstan",2724900,2724900,2699700,25200,9730,0.9
"Chad",1284000,1284000,1259200,24800,9580,1.9
"Chile",756102,756102,743532,12290,4745,1.6
"Romania",238391,238391,230080,7100,2700,3
"Somalia",637657,637657,627340,10320,3985,1.6
"Senegal",196722,196722,192530,4192,1619,2.1
"Guatemala",108889,108889,107160,1730,668,1.6
"Netherlands",41850,41850,33670,7957,3072,19
"Ecuador",276841,276841,248360,6720,2600,2.4
"Cambodia",181035,181035,176520,4520,1750,2.5
"Zimbabwe",390757,390757,386850,3910,1510,1
"Guinea",245857,245857,245720,140,54,0.1
"Benin",112622,112622,112760,458,177,0.4
"Rwanda",26338,26338,24670,1670,645,6.3
"Burundi",27834,27834,25680,2150,830,7.7
"Bolivia",1098581,1098581,1083300,15280,5900,1.4
"Tunisia",163610,163610,155360,8250,3190,5
"South Sudan",619745,619745,631930,,,
"Haiti",27750,27750,27560,190,73,0.7
"Belgium",30528,30528,30280,250,97,0.8
"Jordan",89342,89342,88794,540,210,0.6
"Dominican Republic",48671,48671,48310,350,140,0.7
"United Arab Emirates",83600,83600,71020,,,
"Cuba",109884,109884,103800,,,
"Honduras",112492,112492,111890,200,80,0.2
"Czech Republic",78865,78865,77198.5,1700,660,2.2
"Sweden",450295,450295,407283.5,40142,15499,9
"Tajikistan",143100,143100,138790,2590,1000,1.8
"Papua New Guinea",462840,462840,452860,9980,3850,2.2
"Portugal",92090,92090,91605.6,1107,427,1.2
"Azerbaijan",86600,86600,82646,500,200,0.6
"Greece",131990,131990,128900,1310,506,1
"Hungary",93028,93028,91260,3420,1320,3.7
"Togo",56785,56785,54390,2400,930,4.2
"Israel",20770,20770,21640,440,170,2.1
"Austria",83871,83871,82520,1426,551,1.7
"Belarus",207600,207600,202980,4700,1800,2.3
"Switzerland",41284,41284,39516,1280,494,3.1
"Sierra Leone",71740,71740,72180,120,46,0.2
"Laos",236800,236800,230800,6000,2000,2.5
"Turkmenistan",488100,488100,469930,18170,7015,3.7
"Hong Kong",1104,1104,1050,1649,637,59.9
"Libya",1759540,1759540,1759540,,,
"Kyrgyzstan",199951,199951,191800,8150,3150,4.1
"Paraguay",406752,406752,397300,9450,3650,2.3
"Nicaragua",130373,130373,120340,10380,4008,8
"Bulgaria",110879,110879,108560,2390,923,2.2
"Serbia",88361,88361,87460,115,44,0.1
"El Salvador",21041,21041,20720,320,120,1.5
"Republic of the Congo",342000,342000,341500,500,200,0.1
"Denmark",43094,43094,40000,21,8,
"Singapore",710,710,718,10,4,1.4
"Lebanon",10452,10452,10230,170,66,1.6
"Finland",338424,338424,303940,34330,13260,10.1
"Liberia",111369,111369,96320,15049,5810,13.5
"Norway",323802,323802,364285,19520,7537,5.1
"Slovakia",49037,49037,49035,930,360,1.9
"Palestine",6220,6220,6020,220,85,3.5
"Central African Republic",622984,622984,622980,,,
"Oman",309500,309500,309500,,,
"Ireland",70273,70273,68890,1390,537,2
"New Zealand",270467,270467,263310,4395,1697,1.6
"Mauritania",1030700,1030700,1030700,4480,1730,0.4
"Costa Rica",51100,51100,51060,40,20,0.1
"Kuwait",17818,17818,17820,,,
"Panama",75417,75417,74180,1080,417,1.4
"Croatia",56594,56594,55960,620,240,1.1
"Georgia",69700,69700,69490,,,
"Eritrea",117600,117600,121040.8,,,
"Mongolia",1564110,1564110,1557506.8,10560,4077,0.7
"Uruguay",181034,181034,175020,1200,460,0.7
"Puerto Rico",8870,8870,8870,145,56,1.6
"Bosnia and Herzegovina",51209,51209,51200,10,4,
"Qatar",11586,11586,11490,,,
"Moldova",33846,33846,32884.6,960,370,2.8
"Namibia",825615,825615,823290,2425,936,0.3
"Armenia",29743,29743,28470,1401,541,4.7
"Lithuania",65300,65300,62620,2620,1010,4
"Jamaica",10991,10991,10830,160,62,1.5
"Albania",28748,28748,27400,1350,521,4.7
"Gambia",10689,10689,10120,1295,500,11.5
"Gabon",267668,267668,257670,10001,3861,3.7
"Botswana",582000,582000,566730,15000,5800,2.6
"Lesotho",30355,30355,30360,,,
"Guinea-Bissau",36125,36125,28120,8005,3091,22.2
"Slovenia",20273,20273,20136.4,122,47,0.6
"Equatorial Guinea",28051,28051,28050,,,
"Latvia",64559,64559,62230,2340,903,3.6
"North Macedonia",25713,25713,25220,280,110,1.1
"Bahrain",765,765,785,,,
"Trinidad and Tobago",5130,5130,5130,,,
"Timor-Leste",14874,14874,14870,,,
"Estonia",45227,45227,42750,2840,1100,6.3
"Cyprus",9251,9251,9240,10,4,0.1
"Mauritius",2040,2040,2030,10,4,0.5
"Eswatini",17364,17364,17200,160,62,0.9
"Djibouti",23200,23200,23180,20,8,0.1
"Fiji",18272,18272,18270,,,
"Reunion",2511,2511,2512,,,
"Comoros",1862,1862,1861,,,
"Guyana",214969,214969,196850,18120,6996,8.4
"Solomon Islands",28896,28896,27990,910,350,3.1
"Bhutan",38394,38394,38140,,,
"Macau",32.9,32.9,32.9,,,
"Luxembourg",2586,2586,2574.5,,,
"Montenegro",13812,13812,13450,360,140,2.6
"Suriname",163820,163820,156000,7820,3020,4.8
"Western Sahara",266000,266000,266000,,,
"Malta",316,316,320,,,
"Maldives",300,300,300,,,
"Cape Verde",4033,4033,4033,,,
"Brunei",5765,5765,5270,500,200,8.7
"Belize",22966,22966,22810,160,62,0.7
"Bahamas",13943,13943,10010,3870,1490,27.8
"Iceland",103000,103000,100830,2750,1060,2.7
"Guadeloupe",1628,1628,1628,,,
"Martinique",1128,1128,1128,,,
"Vanuatu",12189,12189,12190,,,
"Mayotte",374,374,374,,,
"French Guiana",83534,83534,83534,,,
"New Caledonia",18575,18575,18280,300,100,1.6
"Barbados",430,430,430,,,
"French Polynesia",4167,4167,3471,340,130,8.2
"Sao Tome and Principe",964,964,960,,,
"Samoa",2842,2842,2780,10,4,0.4
"Curacao",444,444,444,,,
"Saint Lucia",616,616,610,10,4,1.6
"Guam",549,549,540,,,
"Kiribati",811,811,810,,,
"Seychelles",452,452,460,,,
"Grenada",344,344,340,,,
"Micronesia",702,702,700,,,
"Aruba",180,180,180,,,
"Tonga",747,747,720,30,10,4
"Jersey",116,116,120,,,
"Saint Vincent and the Grenadines",389,389,390,,,
"Antigua and Barbuda",442,442,440,,,
"United States Virgin Islands",347,347,347,,,
"Isle of Man",572,572,570,,,
"Andorra",468,468,470,,,
"Cayman Islands",264,264,240,,,
"Dominica",751,751,750,,,
"Bermuda",54,54,54,,,
"Guernsey",78,78,63,,,
"Greenland",2166086,2166086,410450,,,
"Faroe Islands",1393,1393,1366,,,
"Saint Kitts and Nevis",261,261,260,,,
"American Samoa",199,199,200,,,
"Turks and Caicos Islands",948,948,948,,,
"Northern Mariana Islands",464,464,460,,,
"Sint Maarten",34,34,34,,,
"Liechtenstein",160,160,160,,,
"British Virgin Islands",151,151,150,,,
"Gibraltar",6.8,6.8,6.8,,,
"Monaco",2.02,2.02,2,,,
"Marshall Islands",181,181,180,,,
"San Marino",61,61,60,,,
"Saint Martin",53,53,50,,,
"Palau",459,459,460,,,
"Anguilla",91,91,91,,,
"Cook Islands",240,240,240,,,
"Nauru",21,21,20,,,
"Wallis and Futuna",274,274,274,,,
"Saint Barthelemy",21,21,25,,,
"Tuvalu",26,26,30,,,
"Saint Pierre and Miquelon",242,242,242,,,
"Montserrat",102,102,102,,,
"Falkland Islands",12173,12173,12173,,,
"Tokelau",12,12,10,,,
"Niue",261,261,261,,,
"Vatican City",0.44,0.44,0.44,,,